한글,French,Example Sentence,Translated Sentence,Explanation
1과,,,,
사회자,"animateur, maître de cérémonie",오늘 행사의 사회자는 김민수 씨입니다.,L'animateur de l'événement d'aujourd'hui est M. Kim Minsu.,"Personne qui dirige/présente un événement, réunion ou émission. Rôle formel et responsable."
동호회,"club, association d'intérêt",사진 동호회에 가입했어요.,J'ai rejoint un club de photographie.,Groupe de personnes partageant un hobby/passion commune. Structure sociale très populaire en Corée.
-에 참석하다,"assister à, être présent",오늘 회의에 참석할 수 있어요?,Peux-tu assister à la réunion aujourd'hui ?,"Verbe formel pour ""être présent"" à un événement officiel (réunion, cérémonie)."
신입 회원,nouveau membre,신입 회원을 환영합니다!,Bienvenue aux nouveaux membres !,Désigne une personne qui vient de rejoindre un groupe/organisation. Souvent accompagné d'un accueil chaleureux.
가입 동기,motivation d'adhésion,가입 동기를 말씀해 주세요.,Veuillez nous parler de votre motivation pour rejoindre le club.,Raison personnelle pour laquelle on rejoint un groupe. Question typique lors de présentations.
망설이다,hésiter,가입할까 말까 망설이고 있어요.,J'hésite à m'inscrire ou non.,Exprimer l'indécision avant de prendre une décision. Sentiment d'incertitude.
생활에 변화를 주다,apporter un changement à sa routine,운동으로 생활에 변화를 주고 싶어요.,Je veux apporter un changement à ma routine par le sport.,Expression pour briser la monotonie et introduire de la nouveauté dans son quotidien.
가입하다,"s'inscrire, adhérer",헬스장에 가입했어요.,Je me suis inscrit à la salle de sport.,Verbe d'action pour devenir membre officiel d'un groupe/service.
마음이 통하다,se comprendre mutuellement,우리는 마음이 통하는 친구예요.,Nous sommes des amis qui se comprennent.,Expression idiomatique pour une connexion émotionnelle profonde. Complicité naturelle.
국어국문학과,département de langue et littérature coréennes,저는 국어국문학과 학생이에요.,Je suis étudiant en langue et littérature coréennes.,Filière universitaire spécialisée dans l'étude du coréen classique et moderne.
정보를 얻다,obtenir des informations,인터넷에서 정보를 얻었어요.,J'ai obtenu des informations sur Internet.,Collocation courante pour acquérir des connaissances/données.
