한글,French,Example Sentence,Translated Sentence,Explanation
스산하다,être sinistre / lugubre,가을바람이 불어서 날씨가 좀 스산해요.,Le vent d'automne souffle donc il fait un temps un peu lugubre.,"Décrit une ambiance froide, triste ou déserte (eerie, bleak), souvent pour le temps ou une atmosphère vide."
금액,montant (somme d'argent),청구서에 적힌 금액이 생각보다 많았어요.,Le montant indiqué sur la facture était plus élevé que prévu.,"Terme formel pour une somme d'argent précise (amount). Utilisé dans les factures, contrats, documents financiers."
잔금,solde restant / reste à payer,이사 갈 때 잔금을 치러야 해요.,Il faut payer le solde restant au moment du déménagement.,Somme restante à régler après un acompte (balance due). Fréquent en immobilier ou lors de transactions.
사건,affaire / incident,그 사건은 아직도 해결되지 않았어요.,Cette affaire n'a toujours pas été résolue.,"Désigne un événement notable, souvent une affaire judiciaire ou un incident (case, incident). Registre neutre à formel."
아무튼,de toute façon / en tout cas,"아이, 아무튼 사건 서류 봉투 안에 같이 넣어 놨으니까.","Bon, de toute façon, je l'ai mis avec les documents de l'affaire dans l'enveloppe.",Adverbe de transition très courant à l'oral pour changer de sujet ou conclure (anyway). Registre familier/neutre.
야근,heures supplémentaires (le soir),저는 오늘도 야근이라 먼저 들어갑니다.,"Moi aussi je fais des heures supplémentaires aujourd'hui, donc j'y vais / je pars devant.",Désigne le travail effectué le soir après les heures normales (overtime). Très courant dans le contexte professionnel coréen.
그만두다,arrêter / quitter (un travail),그는 결국 회사를 그만두기로 했어요.,Il a finalement décidé de quitter l'entreprise.,"Verbe pour arrêter une activité ou démissionner d'un travail (to quit, to stop). Registre neutre."
상황,situation,지금 상황이 많이 복잡해요.,La situation est très compliquée en ce moment.,"Terme général pour une situation ou circonstance (situation, circumstances). Très courant à l'oral et à l'écrit."
결국,finalement / en fin de compte,결국 그 계획은 취소됐어요.,"Finalement, ce projet a été annulé.","Adverbe indiquant l'issue finale d'une situation, souvent après des difficultés (in the end). Registre neutre."
찾아오다,venir voir / venir trouver,옛 친구가 저를 찾아왔어요.,Un vieil ami est venu me voir.,Verbe composé signifiant venir rendre visite ou venir trouver quelqu'un/quelque part (to come and find). Différent de 찾다 (chercher) seul.
